Lat,Long,h_tx_asl,h_rx_asl,delta_h_tx_rx,d_2d,d_3d,freq,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,building_depth_2d,building_depth_3d,n_building,vegetation_depth_2d,vegetation_depth_3d,n_vegetation,avg_diffracted_comp,std_building,std_vegetation,std_ground,pl
-22.96561073,-43.21628987,53,8.662601471,44.33739853,2224.708229,2225.1499,750,11.443,4.1587,7.8266,203,203.04,15,17,17.0034,8,48.952,13.842,7.8041,2.5736,143.00946
-22.96565883,-43.21631656,53,8.727642059,44.27235794,2219.025228,2219.4668,750,11.329,4.1967,7.8313,194,194.039,8,11,11.0022,5,48.961,13.904,7.7174,2.5752,121.20747
-22.96569731,-43.21633791,53,8.768293381,44.23170662,2214.480055,2214.9219,750,11.335,4.1729,7.8347,191,191.038,8,7,7.0014,3,48.795,13.981,7.4853,2.5767,123.06346
-22.9657454,-43.2163646,53,8.825202942,44.17479706,2208.800133,2209.2419,750,11.033,4.4767,7.8379,174,174.035,14,29,29.0058,10,48.689,13.871,7.6957,2.5789,120.05046
-22.9657935,-43.2163913,53,8.79930687,44.20069313,2203.121941,2203.5652,750,10.684,4.7189,7.8398,156,156.031,13,44,44.0089,9,48.717,13.632,8.0243,2.5813,126.62347
-22.96583197,-43.21641265,53,8.765666008,44.23433399,2198.580641,2199.0256,750,10.686,4.5522,7.8411,151,151.031,14,32,32.0065,11,47.846,13.316,8.0141,2.5826,128.30547
-22.96588007,-43.21643934,53,8.734498978,44.26550102,2192.905596,2193.3523,750,10.532,4.7205,7.8432,147,147.03,12,52,52.0106,13,48.456,13.303,7.9912,2.5849,118.80946
-22.96592817,-43.21646603,53,8.692447662,44.30755234,2187.232318,2187.6812,750,10.487,4.7617,7.8452,156,156.032,10,64,64.0131,9,48.282,13.157,8.0043,2.5869,122.33047
-22.96596664,-43.21648739,53,8.669690132,44.33030987,2182.694977,2183.145,750,10.597,4.7395,7.8472,164,164.034,16,79,79.0163,13,46.112,12.999,8.0413,2.5885,116.65047
-22.96601474,-43.21651408,53,8.643304825,44.35669518,2177.024915,2177.4768,750,10.77,4.715,7.8494,172,172.036,12,93,93.0193,11,45.857,12.997,8.1736,2.5905,124.45647
-22.96605322,-43.21653543,53,8.608942032,44.39105797,2172.490166,2172.9436,750,10.671,4.8661,7.8512,169,169.035,13,95,95.0198,12,46.73,12.963,8.3835,2.5921,119.63547
-22.96610131,-43.21656212,53,8.575410843,44.42458916,2166.823365,2167.2788,750,10.663,4.9203,7.8537,182,182.038,13,89,89.0187,14,46.225,12.839,8.545,2.5938,126.24747
-22.96614941,-43.21658882,53,8.564226151,44.43577385,2161.158396,2161.6152,750,10.764,4.9314,7.8562,189,189.04,13,104,104.022,18,46.009,12.971,8.4278,2.5952,126.52046
-22.96618788,-43.21661017,53,8.545924187,44.45407581,2156.62775,2157.0859,750,10.789,4.8507,7.8581,186,186.04,14,113,113.024,13,45.935,12.961,8.3104,2.5964,125.84447
