Sample,Long_Rx,Lat_Rx,h_tx,h_rx,delta_tx_rx,freq,Distance,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,std_building,std_vegetation,std_ground,building_depth_2d,n_building,vegetation_depth_2d,n_intersection_veg,min_building,min_vegetation,min_ground,max_building,max_vegetation,max_ground,Pw,PL,RMS DS
94,-43.227135,-22.973991,3,3.5,0.5,3500,12.701477,4.9231,0,7.3041,4.051,0,0.10433,0,0,0,0,0,0,7.1621,8,0,7.4554,-48.806393,69.426393,0.39807272
95,-43.227135,-22.973991,3,3.5,0.5,3500,12.440147,4.9231,0,7.3074,4.051,0,0.10597,0,0,0,0,0,0,7.1621,8,0,7.4554,-49.437859,70.057859,0.61551207
97,-43.227135,-22.973991,3,3.5,0.5,3500,12.701477,4.9231,0,7.3041,4.051,0,0.10433,0,0,0,0,0,0,7.1621,8,0,7.4554,-49.637501,70.257501,0.48916408
100,-43.227112,-22.973991,3,3.5,0.5,3500,14.799558,4.8,0,7.2791,4.0567,0,0.11937,0,0,0,0,0,0,7.1015,8,0,7.4554,-49.15649,69.77649,0.23059636
101,-43.227112,-22.973991,3,3.5,0.5,3500,14.799558,4.8,0,7.2791,4.0567,0,0.11937,0,0,0,0,0,0,7.1015,8,0,7.4554,-50.255001,70.875001,0.64407003
102,-43.227108,-22.973993,3,3.5,0.5,3500,15.326097,4.5,0,7.2785,4.0988,0,0.11904,0,0,0,0,0,0,7.1015,8,0,7.4554,-49.235744,69.855744,7.14E-01
103,-43.227104,-22.973993,3,3.5,0.5,3500,15.589636,4.5,0,7.2703,4.0988,0,0.12206,0,0,0,0,0,0,7.0755,8,0,7.4554,-48.391663,69.011663,0.62060726
105,-43.227093,-22.973993,3,3.5,0.5,3500,16.645111,3.7647,0,7.2585,4.116,0,0.12893,0,0,0,0,0,0,7.0495,8,0,7.4554,-52.268066,72.888066,0.24058329
114,-43.227093,-22.973993,3,3.5,0.5,3500,16.909147,4.2353,0,7.256,4.116,0,0.13111,0,0,0,0,0,0,7.0495,8,0,7.4554,-53.964909,74.584909,0.13598685
115,-43.227093,-22.973993,3,3.5,0.5,3500,16.645111,3.7647,0,7.2585,4.116,0,0.12893,0,0,0,0,0,0,7.0495,8,0,7.4554,-56.171856,76.791856,0.53176528
116,-43.227089,-22.973993,3,3.5,0.5,3500,17.173582,4,0,7.2581,4.116,0,0.13065,0,0,0,0,0,0,7.0495,8,0,7.4554,-52.844284,73.464284,0.29484019
117,-43.227089,-22.973993,3,3.5,0.5,3500,17.173582,4,0,7.2581,4.116,0,0.13065,0,0,0,0,0,0,7.0495,8,0,7.4554,-52.394657,73.014657,0.16480243
118,-43.227089,-22.973993,3,3.5,0.5,3500,17.173582,4,0,7.2581,4.116,0,0.13065,0,0,0,0,0,0,7.0495,8,0,7.4554,-54.615623,75.235623,0.19872318
119,-43.227089,-22.973993,3,3.5,0.5,3500,17.173582,4,0,7.2581,4.116,0,0.13065,0,0,0,0,0,0,7.0495,8,0,7.4554,-53.10519,73.72519,0.15069908
122,-43.227089,-22.973993,3,3.5,0.5,3500,17.173582,4,0,7.2581,4.116,0,0.13065,0,0,0,0,0,0,7.0495,8,0,7.4554,-51.471363,72.091363,0.080753528
177,-43.225407,-22.973022,3,3.5,0.5,3500,215.54332,5.2049,4.1713,6.8001,4.355,6.0636,0.30338,15.835,6,32.659,5,0,0,6.2347,15,19,7.4604,-59.809143,80.429143,0.15006709
