image_id,Long_Rx,Lat_Rx,Decimal Hour Rx,Long_Tx,Lat_Tx,Decimal Hour Tx,Pw,PL,rms_delay_ns,mean_delay,rms_delay,d,dx,dy,relative speed,vx,vy
66.png,-43.31230768,-23.00874812,11.38277472,-43.31241816,-23.00906524,11.38274444,-48.87655095,65.87655095,80.050451,0.118985187,0.080050451,36.90032305,11.81138269,34.9589056,0.258603213,0.08277601,0.244997457
67.png,-43.31231704,-23.00878232,11.38301972,-43.3124232,-23.0090818,11.38294444,-51.37847754,68.37847754,74.269011,0.117081655,0.074269011,34.90561416,11.3676921,33.00268893,2.001793376,0.651922944,1.89266299
68.png,-43.31232296,-23.00880288,11.38326917,-43.31242957,-23.00910307,11.38324444,-52.08350665,69.08350665,75.254064,0.114072226,0.075254064,34.99471129,11.41372069,33.08106404,0.001442261,0.000470402,0.001363393
69.png,-43.31233112,-23.00882996,11.38351833,-43.31243335,-23.00911585,11.38344444,-53.78178728,70.78178728,67.917325,0.245662986,0.067917325,33.35011936,10.96440887,31.49622516,1.646035829,0.541161776,1.554534619
70.png,-43.31233568,-23.0088458,11.38376333,-43.31243902,-23.00913502,11.38374444,-52.0795665,69.0795665,96.989148,0.11827256,0.096989148,33.73597499,11.07822393,31.8651685,0.385694598,0.126654443,0.364306156
71.png,-43.31234356,-23.00886836,11.38401333,-43.3124428,-23.0091478,11.38394444,-54.98949626,71.98949626,73.48634,0.097333527,0.07348634,32.57574877,10.65828384,30.78279379,1.158341079,0.37899138,1.094586492
72.png,-43.31234952,-23.00888504,11.38426278,-43.31244915,-23.00917003,11.38424444,-57.28099848,74.28099848,29.552881,0.255354694,0.029552881,33.1724789,10.69905335,31.39973907,0.600817341,0.193780417,0.568709616
73.png,-43.31236332,-23.00891276,11.38451194,-43.31245467,-23.00919067,11.38444444,-55.73044053,72.73044053,65.992297,0.127590956,0.065992297,32.17013195,9.853262918,30.62401998,1.025362719,0.314054306,0.976083295
74.png,-43.31237124,-23.00892932,11.38475694,-43.31246295,-23.00922163,11.38474444,-56.44301615,73.44301615,28.165897,0.104564656,0.028165897,33.70925517,9.892163768,32.22512964,0.239541746,0.070294825,0.228995384
75.png,-43.31238684,-23.00896716,11.38526444,-43.31247748,-23.00927572,11.38524444,-56.54152299,73.54152299,39.962562,0.093657415,0.039962562,35.41204946,9.785050135,34.03330781,1.687223539,0.466213257,1.621532753
76.png,-43.31242188,-23.0090542,11.3862625,-43.31250849,-23.00939036,11.38624444,-52.09326715,69.09326715,65.767187,0.118576724,0.065767187,38.27191818,9.376247496,37.10560206,0.700230803,0.171549732,0.678891645
77.png,-43.3124342,-23.00908692,11.38651611,-43.3125151,-23.0094143,11.38644444,-53.21076502,70.21076502,71.347808,0.105263534,0.071347808,37.1919005,8.792110331,36.13774009,1.100907166,0.260252828,1.069703255
78.png,-43.31244124,-23.00910928,11.38676556,-43.31252644,-23.00945372,11.38674444,-50.75811511,67.75811511,16.825934,0.081622873,0.016825934,39.13192282,9.232849489,38.02712024,1.938402736,0.457349893,1.883676257
79.png,-43.31244808,-23.00914444,11.38701472,-43.312534,-23.00948,11.38694444,-52.27501726,69.27501726,58.009292,0.1069597,0.058009292,38.19091063,9.305692396,37.03983995,0.944617751,0.230167914,0.916147055
80.png,-43.31245456,-23.00917108,11.38726417,-43.3125448,-23.00951888,11.38724444,-53.26973525,70.26973525,48.839919,0.151693869,0.048839919,39.61219167,9.748125247,38.39400712,0.801188897,0.197163787,0.77655012
81.png,-43.3124652,-23.00921288,11.38751778,-43.312552,-23.0095448,11.38744444,-51.44916396,68.44916396,46.209776,0.102663219,0.046209776,37.81990713,9.39527524,36.6343306,1.79201148,0.445174046,1.735835595
82.png,-43.3124724,-23.00924352,11.38776778,-43.31256896,-23.00960392,11.38774444,-57.83918243,74.83918243,96.439996,0.149731789,0.096439996,41.12141505,10.39497715,39.78586716,3.301566461,0.834594526,3.194337658
83.png,-43.31249316,-23.00931992,11.3882625,-43.3125942,-23.00969408,11.38824444,-50.56301045,67.56301045,82.833249,0.131428392,0.082833249,42.71107268,10.85394737,41.30892829,0.795050289,0.202042081,0.768949907
84.png,-43.3125088,-23.00936792,11.3885125,-43.3126046,-23.0097316,11.38844444,-56.282949,73.282949,130.415369,0.242686671,0.130415369,41.45553826,10.31758615,40.15107805,1.262535851,0.314223936,1.222808281
85.png,-43.31252008,-23.0094026,11.38876194,-43.31261948,-23.00978332,11.38874444,-52.41113688,69.41113688,96.527801,0.130049814,0.096527801,43.37641949,10.68687202,42.03932129,1.916419187,0.472158072,1.857344679
86.png,-43.31253844,-23.0094593,11.38901111,-43.3126292,-23.0098168,11.38894444,-53.05259704,70.05259704,69.016566,0.160261234,0.069016566,40.66963829,9.802034527,39.47074357,2.715940097,0.654585084,2.635877269
