Tx_ind,Tx,Rx,f,d,dx,dy,nw,PL
3,Tx3,Lab 11b,30.5,12.48,12.3,2.09,0.75,128.9066667
3,Tx3,Lab 13,30.5,9.68,9.3,2.69,0.5,113.4148485
3,Tx3,Lab 16a,30.5,2.57,0,2.57,0.25,82.19016667
3,Tx3,Lab 16b,30.5,7.36,6.9,2.57,0.5,119.2222222
3,Tx3,Lab 17,30.5,5.95,5.3,2.7,0.25,111.5613725
3,Tx3,Lab 19,30.5,5.14,4.5,2.48,0.5,120.0229167
3,Tx3,Lab 21,30.5,3.8,2.68,2.7,0.5,101.4739394
3,Tx3,Pasillo_Dep,30.5,11.03,10.8,2.25,0.5,112.1543137
1,Tx1,Lab 7,30.5,4.83,4.35,2.1,0.25,94.85545455
4,Tx4,Sala 1b,30.5,4.42,3.5,2.7,0.25,94.47041667
4,Tx4,Sala 2,30.5,4.37,4.14,1.4,0.25,83.60215054
4,Tx4,Sala 3,30.5,7.02,6.17,3.35,0.5,100.6510417
4,Tx4,Sala 30a,30.5,7.91,7.5,2.5,0.75,125.420303
4,Tx4,Sala 30b,30.5,5.37,4.89,2.21,0.75,130.1569792
4,Tx4,Sala 35,30.5,7.69,7.55,1.45,0.25,102.9626042
5,Tx5,Lab 10,30.5,3.35,2.17,2.55,0.25,102.9494792
5,Tx5,Lab 11b,30.5,9.98,9.9,1.28,0.75,104.4402151
5,Tx5,Lab 12,30.5,3.91,3.3,2.1,0.25,95.88760417
4,Tx4,Sala 2,30.5,4.37,4.14,1.4,0.5,121.689697
5,Tx5,Lab 16b,30.5,6.39,4.01,4.97,0.25,117.9372917
5,Tx5,Lab 18,30.5,10.31,10.05,2.31,0.5,122.5048485
5,Tx5,Lab 8,30.5,6.93,6.6,2.1,0.75,130.2714943
6,Tx6,Lab 11a,30.5,12.5,12.5,0,0.75,129.3566667
1,Tx1,Lab 5,30.5,4,4,0.01,0.25,82.69
6,Tx6,Lab 9,30.5,8.9,8.9,0,0.75,129.8133333
1,Tx1,Copa,31,6.59,6.3,1.94,0.5,118.4613889
1,Tx1,Lab 1,31,11.76,11.6,1.93,0.5,127.6829032
1,Tx1,Lab 11a,31,9.04,8.9,1.6,0.75,124.6433333
1,Tx1,Lab 3,31,4.25,3.6,2.25,0.25,104.66375
1,Tx1,Lab 4,31,3.5,2.7,2.22,0.25,105.4487097
1,Tx1,Lab 5,31,4,4,0.01,0.25,97.70333333
1,Tx1,Lab 7,31,4.83,4.35,2.1,0.25,106.6
